name,competition,id
ASM Clermont,Top 14,5d8004d6-378b-4140-9d6f-9816355f0f9a
Aviron Bayonnais,Top 14,038ee390-2d87-441d-a1af-796aa3f96442
Castres Olympique,Top 14,bf1182ab-e794-422b-b031-5703da1df3fe
LOU Rugby,Top 14,f3959302-0cde-4947-b958-9bc10c542876
Montpellier Hérault Rugby,Top 14,57428006-d37f-4b16-abf3-e28b313f4470
RC Toulon,Top 14,9935845e-be24-4840-a9a4-b161625edb1b
RC Vannes,Top 14,6a4a2783-5c0f-4ecc-b04f-608f29065bf2
Racing 92,Top 14,5dfcc849-43f2-4197-88a5-42fd987136c5
Section Paloise,Top 14,261c8e2d-cbf3-4030-9839-e953ae82b30f
Stade Français Paris,Top 14,4dff43e9-a706-411d-9ab5-d6111802dd93
Stade Rochelais,Top 14,36cf16dd-dd1f-476b-a182-7b11e327d53a
Stade Toulousain,Top 14,3e6f0ad3-1942-43ff-8b47-8b5b89c23a6d
USA Perpignan,Top 14,9aedb7ac-d1ae-4508-9612-f47e0ee15ad5
Union Bordeaux-Bègles,Top 14,630bd9a3-0717-4daf-9f04-1ddf3c16de4c
AS Béziers Hérault,Pro D2,0e1f3c5a-8b6d-4f9e-9c3b-2f1e4d5a6b7c
Biarritz Olympique PB,Pro D2,99edf114-dfc4-43f9-9f5a-2ae5591880f3
CA Brive,Pro D2,ca71d470-5040-4118-b11e-8cd32854a18a
Colomiers Rugby,Pro D2,d11a1051-adc0-4bca-9779-b02b35697f27
FC Grenoble Rugby,Pro D2,7e1e8d89-02d6-4db2-b104-8906f552a9d5
Nissa Rugby,Pro D2,add31609-04da-4b10-8709-3bbf36315999
Oyonnax Rugby,Pro D2,ad7ce06f-0b3e-4b6a-bb18-733cef0bb6d8
Provence Rugby,Pro D2,65f8dce7-8397-490d-9044-db1afa8c8031
RC Narbonnais,Pro D2,998bb7db-f57c-476f-ba1c-24dd89c208f0
SU Agen,Pro D2,4c888935-abca-4a6f-ad2c-57b36fbb1767
Soyaux Angoulême XV,Pro D2,479873dc-90a5-478e-9007-78a502b11eeb
Stade Aurillacois,Pro D2,b5a1f4ee-b1e7-4cd0-807e-151015c2eb6e
US Dax,Pro D2,57b0aa26-0c2b-4d95-9703-64b0f7fc942d
US Montauban,Pro D2,370c0640-114d-43bf-9cc2-16d0e2a6e053
USON Nevers,Pro D2,79800eef-2caa-48e7-9134-c38075b23a73
Valence Romans,Pro D2,01718201-89ca-47e6-8123-4e5cbca0f181
